Key,Date,Day,AvailableTime,AirScore,WeatherScore,Dorm,Distance(m)
G3,2019-04-22,Monday,NA,1,2,0,258.0881473
G3,2019-04-23,Tuesday,1930.142857,2,1,0,141.7767165
G3,2019-04-24,Wednesday,NA,1,1,0,258.0881473
G3,2019-04-25,Thursday,2384.75,1,1,0,132.335733
G3,2019-04-29,Monday,NA,1,1,0,NA
G3,2019-04-30,Tuesday,1930.142857,1,2,0,132.335733
G3,2019-05-01,Wednesday,NA,1,2,0,NA
G3,2019-05-02,Thursday,2384.75,3,2,0,132.335733
G3,2019-05-07,Tuesday,1930.142857,1,5,0,141.7767165
G3,2019-05-13,Monday,NA,NA,1,0,258.0881473
G3,2019-05-14,Tuesday,1930.142857,NA,2,0,295.721823
G4,2019-04-16,Tuesday,4317.666667,1,2,0,774.9080656
G4,2019-04-17,Wednesday,2276.25,1,4,0,139.4843326
G4,2019-04-18,Thursday,NA,1,1,0,774.9080656
G4,2019-04-19,Friday,4321.5,1,2,0,774.9080656
G4,2019-04-24,Wednesday,2276.25,1,1,0,NA
G4,2019-04-25,Thursday,NA,1,1,0,774.9080656
G4,2019-04-29,Monday,3869.25,1,1,0,774.9080656
G4,2019-04-30,Tuesday,4317.666667,1,2,0,774.9080656
G4,2019-05-01,Wednesday,2276.25,1,2,0,258.0881473
G4,2019-05-03,Friday,4321.5,1,2,0,NA
G4,2019-05-07,Tuesday,4317.666667,1,5,0,774.9080656
G4,2019-05-08,Wednesday,2276.25,1,3,0,258.0881473
G4,2019-05-10,Friday,4321.5,1,2,0,774.9080656
G4,2019-05-13,Monday,3869.25,NA,1,0,504.6236985
G5,2019-04-11,Thursday,2274,1,1,1,774.9080656
G5,2019-04-15,Monday,54.33333333,1,5,1,258.0881473
G5,2019-04-16,Tuesday,NA,1,2,1,NA
G5,2019-04-17,Wednesday,NA,1,4,1,258.0881473
G5,2019-04-22,Monday,54.33333333,1,2,1,295.721823
G5,2019-04-29,Monday,54.33333333,1,1,1,NA
G5,2019-04-30,Tuesday,NA,1,2,1,774.9080656
G5,2019-05-03,Friday,2581,1,2,1,180.4581399
G5,2019-05-07,Tuesday,NA,1,5,1,774.9080656
G5,2019-05-08,Wednesday,NA,1,3,1,NA
G5,2019-05-09,Thursday,2274,1,2,1,774.9080656
G5,2019-05-10,Friday,2581,1,2,1,774.9080656
G5,2019-05-13,Monday,54.33333333,NA,1,1,258.0881473
G5,2019-05-14,Tuesday,NA,NA,2,1,NA
H1,2019-04-15,Monday,2868.6,1,5,0,504.6236985
H1,2019-04-17,Wednesday,1313.666667,1,4,0,NA
H1,2019-04-22,Monday,2868.6,1,2,0,139.4843326
H1,2019-04-24,Wednesday,1313.666667,1,1,0,180.4581399
H1,2019-04-29,Monday,2868.6,1,1,0,357.2999797
H1,2019-05-08,Wednesday,1313.666667,1,3,0,NA
H1,2019-05-13,Monday,2868.6,NA,1,0,482.5478956
H2,2019-04-15,Monday,2453,1,5,0,504.6236985
H2,2019-04-17,Wednesday,1964.5,1,4,0,NA
H2,2019-04-18,Thursday,NA,1,1,0,NA
H2,2019-04-22,Monday,2453,1,2,0,NA
H2,2019-04-24,Wednesday,1964.5,1,1,0,180.4581399
H2,2019-04-29,Monday,2453,1,1,0,NA
H2,2019-04-30,Tuesday,NA,1,2,0,NA
